cumulative_repetitions,f_statistic,p_value,comparison_baseline
2,5.349561982673023,0.02609156081457362,1.0
3,6.7103551424681145,0.013411917343815376,2.0
4,0.0025142091673694047,0.9602652472457731,3.0
5,0.6657501675930475,0.41949294318201,4.0
6,4.035733685078725,0.05150468617178174,5.0
